iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0071,-5.1909,-4.9129,-,-,-,-,-,-,-,-,-,-
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9518,-4.9915,-4.8919,-,-,-,-,-,-,-,-,-,-
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5513,-5.1088,-1.2008,-,-,-,-,-,-,-,-,-,-
4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.0341,-5.1166,1.0333,-,-,-,-,0.0,-,-,-,0.0,-
5,20.0,10.0,10.0,10.0,10.0,10.0,10.0,112.17,-3.7674,-4.9904,1.0333,0.0,-,-,-,-,-,224.34,-,-,-
6,30.0,20.0,20.0,20.0,20.0,20.0,20.0,46.89,-2.5116,-5.2174,1.0333,-,-,-,-,0.0,-,-,140.66,0.0,-
7,60.0,30.0,30.0,30.0,30.0,30.0,30.0,118.15,-1.0348,-4.9667,1.0333,0.0,-,-,-,0.0,115.08,472.6,-,0.0,121.21
8,30.0,20.0,20.0,20.0,20.0,20.0,20.0,235.61,-2.818,-5.1809,1.0333,706.82,-,-,-,0.0,-,-,-,0.0,-
9,60.0,0.0,0.0,0.0,0.0,0.0,10.0,145.72,-1.0621,-5.028,1.102,96.4,52.01,48.56,-,-,243.34,-,263.49,-,170.49
10,20.0,0.0,0.0,0.0,10.0,10.0,10.0,60.41,-2.0546,-5.023,1.1449,-,27.34,-,-,-,-,-,93.48,-,-
11,50.0,10.0,10.0,20.0,30.0,30.0,30.0,93.33,-1.259,-5.0212,1.1893,0.0,17.05,-,28.42,-,273.33,-,147.86,-,-
