iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,64.03,-4.3668,-5.0121,1.0305,-,-,-,-,-,-,-,-,-,64.03
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9554,-4.9837,-4.8746,-,-,-,-,-,-,-,-,-,-
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6147,-5.1106,-1.475,-,-,-,-,-,-,-,-,-,-
4,30.0,10.0,20.0,20.0,20.0,20.0,20.0,22.01,-2.0758,-5.0218,1.1694,0.0,2.64,-,-,-,-,-,-,-,63.4
5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-4.3647,-5.0,1.0333,0.0,-,-,-,-,-,-,-,-,-
6,30.0,20.0,20.0,20.0,20.0,20.0,20.0,104.58,-3.181,-5.0293,1.0333,-,-,-,-,0.0,-,-,-,0.0,313.74
7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.7706,-5.0656,1.0333,-,-,-,-,0.0,-,-,-,0.0,-
8,40.0,0.0,0.0,0.0,0.0,0.0,0.0,126.64,-1.1098,-5.0276,1.0538,83.13,-,238.42,-,-,-,127.85,-,-,57.17
9,20.0,0.0,0.0,10.0,10.0,10.0,10.0,48.9,-1.2117,-4.9333,1.0317,83.13,-,-,-,-,-,14.67,-,-,-
10,20.0,0.0,10.0,10.0,10.0,10.0,10.0,90.3,-2.0096,-5.0776,1.0995,-,-,0.31,180.3,-,-,-,-,-,-
11,50.0,10.0,10.0,20.0,20.0,20.0,30.0,38.43,-1.1959,-4.98,1.102,0.0,-,48.56,-,-,65.53,14.67,-,-,63.4
12,40.0,10.0,10.0,10.0,10.0,10.0,10.0,102.58,-2.2586,-5.3592,1.0333,-,-,-,66.78,171.83,-,0.0,-,171.7,-
13,80.0,20.0,20.0,20.0,30.0,30.0,30.0,133.69,-0.2143,-5.114,1.1373,358.9,28.62,159.36,212.31,0.0,183.87,-,126.48,0.0,-
14,50.0,20.0,30.0,30.0,30.0,30.0,30.0,92.04,-1.9761,-4.9917,1.0911,194.93,-,0.26,-,0.0,-,-,-,0.0,265.03
15,40.0,20.0,30.0,30.0,30.0,30.0,30.0,49.53,-2.2018,-5.0,1.1796,194.93,3.18,-,-,0.0,-,-,-,0.0,-
16,60.0,10.0,30.0,30.0,30.0,30.0,30.0,157.96,-0.6653,-4.9667,1.1815,-,0.17,0.31,-,349.79,-,0.0,-,350.55,246.93
17,30.0,20.0,30.0,30.0,30.0,30.0,30.0,0.1,-1.391,-5.2536,1.0995,-,-,0.31,-,0.0,-,-,-,0.0,-
18,80.0,0.0,0.0,10.0,10.0,10.0,10.0,303.09,0.4286,-1.3628,1.0477,178.93,245.4,149.0,61.91,1077.92,556.23,14.67,140.66,-,-
19,60.0,0.0,10.0,20.0,20.0,20.0,20.0,114.05,-0.2728,-4.8375,1.0995,83.69,-,0.31,66.39,-,348.75,14.67,-,-,170.49
20,90.0,10.0,20.0,20.0,30.0,40.0,40.0,101.62,0.4516,-4.9333,1.1539,83.69,27.88,0.31,-,278.31,145.82,0.0,36.34,278.85,63.4
21,40.0,0.0,0.0,0.0,0.0,0.0,0.0,84.36,-0.7368,-4.996,1.13,-,54.51,159.36,-,-,67.04,-,-,-,56.54
22,30.0,10.0,10.0,10.0,10.0,10.0,10.0,106.12,-1.7523,-5.2767,1.0333,179.09,-,-,139.27,-,-,0.0,-,-,-
23,50.0,0.0,0.0,10.0,10.0,10.0,10.0,82.76,-1.9752,-5.0823,1.1036,-,-,-,67.61,71.06,18.67,185.56,-,70.92,-
24,30.0,10.0,10.0,10.0,10.0,10.0,10.0,55.11,-3.2165,-5.2364,1.0635,-,55.01,-,-,-,-,-,110.31,-,0.0
25,30.0,10.0,10.0,10.0,10.0,10.0,10.0,121.14,-2.8063,-5.0218,1.0635,167.67,-,195.75,-,-,-,-,-,-,0.0
26,60.0,20.0,20.0,20.0,20.0,20.0,20.0,232.96,-0.332,-4.9659,1.0333,711.66,-,195.75,86.63,0.0,-,403.73,-,0.0,-
27,40.0,0.0,0.0,0.0,0.0,0.0,0.0,102.55,-2.2461,-5.1078,1.0203,-,-,-,-,71.06,-,84.29,183.94,70.92,-
28,60.0,10.0,10.0,10.0,20.0,20.0,20.0,180.3,-1.0361,-5.0832,1.1532,364.94,27.33,-,70.44,-,-,555.27,63.85,-,0.0
29,80.0,30.0,50.0,50.0,50.0,60.0,70.0,33.65,-0.1417,-4.9348,1.1333,179.72,-,0.31,32.62,0.0,7.4,0.0,-,0.0,49.16
30,40.0,30.0,30.0,30.0,30.0,30.0,30.0,46.39,-1.0954,-4.9667,1.0333,0.0,-,-,-,0.0,-,185.56,-,0.0,-
31,60.0,20.0,20.0,20.0,30.0,30.0,30.0,138.15,-0.2957,-4.8989,1.105,539.23,-,-,-,0.0,23.83,-,192.91,0.0,72.91
32,60.0,20.0,20.0,20.0,20.0,20.0,20.0,128.72,0.0727,-1.427,1.0846,527.67,58.7,-,-,0.0,-,84.29,101.65,0.0,-
33,80.0,20.0,20.0,20.0,30.0,30.0,30.0,232.31,0.4892,-1.4004,1.105,561.56,56.9,-,165.73,0.0,23.83,968.12,82.37,0.0,-
34,90.0,20.0,30.0,30.0,30.0,30.0,30.0,162.99,0.7116,-1.2903,1.087,167.67,134.2,4.6,66.78,0.0,365.17,127.85,-,0.0,600.63
35,60.0,40.0,50.0,50.0,50.0,50.0,50.0,13.71,-0.2577,-4.9102,1.1796,0.0,3.18,-,79.1,0.0,-,0.0,-,0.0,-
36,70.0,20.0,30.0,30.0,30.0,30.0,30.0,80.82,-0.4335,-5.0562,1.1796,167.67,3.18,85.41,-,0.0,142.48,-,-,0.0,167.03
37,30.0,20.0,20.0,20.0,20.0,20.0,20.0,35.33,-2.473,-5.0924,1.0333,-,-,-,105.98,0.0,-,-,-,0.0,-
38,30.0,20.0,20.0,20.0,20.0,20.0,20.0,45.02,-2.1422,-5.2805,1.0333,-,-,-,135.07,0.0,-,-,-,0.0,-
39,70.0,20.0,30.0,30.0,30.0,40.0,40.0,148.88,0.3069,-1.366,1.0995,277.88,-,0.31,38.09,0.0,-,555.27,-,0.0,170.58
40,80.0,30.0,40.0,50.0,50.0,50.0,50.0,59.82,0.5627,-1.3421,1.1799,-,-,0.26,67.39,0.0,69.21,0.0,16.3,0.0,325.39
41,80.0,20.0,30.0,30.0,30.0,40.0,40.0,137.14,0.536,-1.3542,1.1771,179.72,100.05,0.31,67.39,0.0,-,713.41,36.25,0.0,-
42,70.0,20.0,40.0,40.0,40.0,40.0,40.0,47.64,0.3362,-1.3582,1.1796,-,3.18,0.26,-,0.0,69.21,-,85.42,0.0,175.42
43,50.0,0.0,30.0,40.0,40.0,40.0,40.0,19.36,-0.1149,-1.3827,1.1796,-,3.18,4.6,66.95,-,7.4,14.67,-,-,-
44,50.0,20.0,40.0,40.0,40.0,40.0,50.0,11.6,-0.8605,-5.0599,1.1565,-,-,4.6,-,-,7.4,0.0,46.01,-,0.0
45,80.0,30.0,50.0,50.0,60.0,60.0,80.0,15.37,-0.1302,-5.0276,1.1815,-,0.17,4.6,48.38,0.0,23.83,-,46.01,0.0,0.0
46,80.0,30.0,40.0,40.0,40.0,40.0,70.0,36.05,0.5986,-1.3523,1.1565,-,-,47.17,138.67,0.0,7.4,0.0,46.01,0.0,49.16
47,40.0,0.0,0.0,0.0,0.0,0.0,20.0,195.98,-0.4115,-1.388,1.1565,262.22,-,47.17,-,-,-,428.52,46.01,-,-
48,30.0,0.0,0.0,10.0,10.0,10.0,10.0,119.44,-0.9782,-4.9,1.1709,-,14.8,-,-,171.83,-,-,-,171.7,-
49,50.0,0.0,10.0,10.0,10.0,10.0,20.0,111.45,-0.1603,-1.4165,1.2,-,-,-,-,171.83,159.97,-,4.59,171.7,49.16
50,60.0,0.0,20.0,20.0,30.0,30.0,30.0,78.53,-0.2606,-4.8821,1.1661,-,3.51,0.31,-,159.2,24.67,-,-,158.87,124.62
51,50.0,0.0,0.0,0.0,10.0,10.0,20.0,90.79,-0.1154,-1.3251,1.0971,-,-,47.17,-,159.2,24.67,-,-,158.87,64.03
52,80.0,0.0,0.0,0.0,0.0,0.0,0.0,180.55,0.1543,-4.9,1.0712,368.84,113.19,93.17,-,159.2,-,224.34,142.51,158.87,184.25
