iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,15.0,-,-,-,-,-,-,-,-,-,-
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,-5.0,-4.0,-,-,-,-,-,-,-,-,-,-
3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,255.66,-1.3,-5.0,6.0,255.66,-,-,-,-,-,-,-,-,-
4,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,4.6,-1.0,8.0,0.0,-,-,-,0.0,-,-,-,0.0,-
5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-0.3,-5.0,7.0,0.0,-,-,-,-,-,-,-,-,-
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-5.0,-2.0,-,-,-,-,-,-,-,-,-,-
7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,2.5,-5.0,9.0,-,-,51.34,-,-,-,-,-,-,-
8,40.0,0.0,20.0,20.0,20.0,20.0,20.0,38.14,-1.0,-5.0,4.0,-,3.18,-,-,71.06,7.4,-,-,70.92,-
9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,174.96,5.2,-5.0,10.0,-,-,58.94,-,83.13,91.55,-,-,83.18,558.02
10,30.0,20.0,20.0,20.0,20.0,20.0,30.0,15.8,-1.2,-5.0,3.0,-,-,47.4,-,0.0,-,-,-,0.0,-
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-5.0,12.0,-,-,-,-,-,-,-,-,-,-
12,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.1,-5.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
13,30.0,20.0,20.0,20.0,20.0,20.0,20.0,31.82,5.3,2.0,7.0,-,-,95.46,-,0.0,-,-,-,0.0,-
14,20.0,10.0,20.0,20.0,20.0,20.0,20.0,2.3,-2.9,-5.0,3.0,0.0,-,4.6,-,-,-,-,-,-,-
15,30.0,20.0,20.0,20.0,20.0,20.0,30.0,16.19,3.1,-3.0,7.0,-,-,48.56,-,0.0,-,-,-,0.0,-
16,30.0,20.0,20.0,20.0,20.0,30.0,30.0,13.47,2.1,-4.0,7.0,-,-,40.4,-,0.0,-,-,-,0.0,-
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,5.0,8.0,-,-,-,-,-,-,-,-,-,-
19,30.0,20.0,30.0,30.0,30.0,30.0,30.0,0.1,1.0,-5.0,8.0,-,-,0.31,-,0.0,-,-,-,0.0,-
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-5.0,7.0,-,-,-,-,-,-,-,-,-,-
21,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,3.5,-5.0,9.0,-,-,51.34,-,-,-,-,-,-,-
22,10.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46,4.4,-3.0,8.0,-,-,95.46,-,-,-,-,-,-,-
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-5.0,7.0,-,-,-,-,-,-,-,-,-,-
24,40.0,20.0,20.0,20.0,20.0,30.0,30.0,23.75,5.5,2.0,14.0,-,-,40.4,-,0.0,-,-,-,0.0,54.6
