iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-4.0,12.0,-,-,-,-,-,-,-,-,-,-
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-4.0,7.0,-,-,-,-,-,-,-,-,-,-
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,4.0,10.0,-,-,-,-,-,-,-,-,-,-
4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.17,-3.1364,-5.0,2.6362,-,-,-,-,-,-,-,-,-,57.17
5,20.0,10.0,10.0,10.0,10.0,10.0,10.0,130.0,4.0278,-4.0,13.0,-,-,-,-,-,-,0.0,-,-,259.99
6,20.0,0.0,0.0,10.0,10.0,10.0,10.0,197.68,-0.892,-4.0,5.208,-,-,-,-,-,380.7,14.67,-,-,-
7,20.0,0.0,10.0,10.0,10.0,10.0,10.0,178.38,1.2216,-4.0,9.0,-,-,0.31,-,-,-,-,-,-,356.44
8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.3,-5.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
9,50.0,30.0,30.0,30.0,30.0,30.0,30.0,60.82,3.3842,-3.0,8.0,0.0,-,212.53,-,0.0,91.55,-,-,0.0,-
10,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.7,-5.0,9.0,-,-,-,-,0.0,-,-,-,0.0,-
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,7.0,-,-,-,-,-,-,-,-,-,-
12,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,2.3,-3.0,7.0,-,-,-,-,0.0,-,-,-,0.0,-
13,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.1,-5.0,9.0,-,-,-,-,0.0,-,-,-,0.0,-
14,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.4,-4.0,6.0,-,-,-,-,0.0,-,-,-,0.0,-
15,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0,-5.0,10.0,-,-,-,-,0.0,-,-,-,0.0,-
16,30.0,20.0,30.0,30.0,30.0,30.0,30.0,0.1,-1.0003,-5.0,7.0,-,-,0.31,-,0.0,-,-,-,0.0,-
17,10.0,0.0,0.0,0.0,0.0,0.0,0.0,262.22,1.6276,-4.0,12.0,262.22,-,-,-,-,-,-,-,-,-
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-5.0,6.0,-,-,-,-,-,-,-,-,-,-
19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.4,-5.0,9.0,-,-,-,-,0.0,-,-,-,0.0,-
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,-4.0,8.0,-,-,-,-,-,-,-,-,-,-
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-4.0,7.0,-,-,-,-,-,-,-,-,-,-
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,-1.0,7.0,-,-,-,-,-,-,-,-,-,-
23,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.1,-5.0,6.0,-,-,-,-,0.0,-,-,-,0.0,-
24,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.9,-5.0,3.0,-,-,-,-,0.0,-,-,-,0.0,-
25,60.0,30.0,30.0,30.0,40.0,40.0,40.0,201.77,3.3069,-5.0,7.0,618.5,-,-,28.42,0.0,-,563.72,-,0.0,0.0
26,10.0,0.0,0.0,0.0,0.0,0.0,0.0,106.03,1.5485,-5.0,9.0,-,-,106.03,-,-,-,-,-,-,-
27,20.0,0.0,0.0,0.0,0.0,0.0,0.0,195.21,0.9677,-3.0,7.0,-,-,-,-,194.82,-,-,-,195.6,-
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,-4.0,8.0,-,-,-,-,-,-,-,-,-,-
29,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,3.3,-5.0,8.0,-,-,-,-,0.0,-,-,-,0.0,-
