iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8953,-4.9791,-4.7294,-,-,-,-,-,-,-,-,-,-
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,94.39,-4.2582,-4.9531,1.2621,-,-,-,94.39,-,-,-,-,-,-
3,20.0,10.0,10.0,10.0,10.0,10.0,10.0,51.45,-0.472,-1.1256,1.3324,0.0,-,-,-,-,102.9,-,-,-,-
4,20.0,10.0,10.0,10.0,10.0,10.0,10.0,31.7,-3.751,-5.063,1.1859,0.0,-,-,-,-,-,-,-,-,63.4
5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,71.06,-3.4995,-5.0155,1.12,-,-,-,-,71.06,-,-,-,-,-
6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.89,-4.3003,-5.0155,1.1671,-,-,58.89,-,-,-,-,-,-,-
7,40.0,30.0,30.0,30.0,30.0,30.0,40.0,11.79,-2.4966,-5.0043,1.1667,0.0,-,47.17,-,0.0,-,-,-,0.0,-
8,30.0,20.0,20.0,20.0,20.0,20.0,20.0,27.71,-2.7219,-4.9667,1.1152,83.13,-,-,-,0.0,-,-,-,0.0,-
9,50.0,10.0,20.0,20.0,20.0,20.0,20.0,219.11,-1.8632,-5.0,1.3296,0.0,3.18,51.34,-,520.08,-,-,-,520.96,-
10,20.0,0.0,10.0,10.0,10.0,10.0,10.0,136.2,-3.7338,-5.0368,1.2903,-,-,0.31,-,-,272.08,-,-,-,-
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3687,-4.8157,-0.7395,-,-,-,-,-,-,-,-,-,-
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8679,-4.9559,-0.851,-,-,-,-,-,-,-,-,-,-
13,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16,-3.7474,-5.0,1.0732,-,-,-,-,83.13,-,-,-,83.18,-
