iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7916,-4.8156,-0.6537,-,-,-,-,-,-,-,-,-,-
2,20.0,0.0,0.0,10.0,10.0,10.0,10.0,49.18,-2.2752,-4.9718,0.9038,83.69,-,-,-,-,-,14.67,-,-,-
3,30.0,10.0,10.0,10.0,10.0,10.0,10.0,45.01,-2.3786,-4.9422,1.0833,0.0,-,-,-,-,71.64,-,-,-,63.4
4,60.0,30.0,30.0,30.0,30.0,30.0,30.0,51.66,-1.3969,-5.0094,1.0833,0.0,-,174.95,-,0.0,71.64,-,-,0.0,63.4
5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-2.2749,-4.9877,1.0833,0.0,-,-,-,0.0,-,-,-,0.0,-
6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.6948,-5.0,1.0833,-,-,-,-,0.0,-,-,-,0.0,-
7,40.0,20.0,20.0,20.0,20.0,20.0,20.0,98.22,-2.6099,-5.0707,1.0833,-,-,51.36,-,0.0,-,-,-,0.0,341.53
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3581,-4.9837,-0.6756,-,-,-,-,-,-,-,-,-,-
9,30.0,0.0,0.0,0.0,0.0,0.0,10.0,71.16,-0.5317,-1.1511,0.8462,-,-,47.17,-,83.13,-,-,-,83.18,-
10,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.9768,-5.0752,1.0833,-,-,-,-,0.0,-,-,-,0.0,-
11,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.689,-4.9837,1.0833,-,-,-,-,0.0,-,-,-,0.0,-
12,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-0.8437,-1.2289,1.143,-,-,4.6,-,-,-,-,-,-,-
13,30.0,0.0,10.0,10.0,10.0,10.0,10.0,55.54,-1.9955,-4.9986,1.1964,-,-,0.31,-,83.13,-,-,-,83.18,-
