iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
2,20.0,0.0,0.0,10.0,10.0,10.0,10.0,49.18,-2.2,-5.0,1.0,83.69,-,-,-,-,-,14.67,-,-,-
3,30.0,10.0,10.0,10.0,10.0,10.0,10.0,45.01,-3.2,-5.0,1.0,0.0,-,-,-,-,71.64,-,-,-,63.4
4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.4,-5.0,1.0,0.0,-,-,-,-,-,-,-,-,0.0
5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-3.2,-5.0,1.0,0.0,-,-,-,0.0,-,-,-,0.0,-
6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.8,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,337.44,-3.8,-5.0,1.0,-,-,-,-,337.16,-,-,-,337.72,-
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
10,30.0,10.0,20.0,30.0,30.0,30.0,30.0,4.38,-0.4,-1.0,1.0,-,-,0.31,-,-,12.83,-,-,-,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
13,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.6,-1.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,105.19,-3.2,-5.0,1.0,-,-,105.19,-,-,-,-,-,-,-
16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,105.19,-1.2,-5.0,1.0,-,-,105.19,-,-,-,-,-,-,-
17,20.0,0.0,10.0,10.0,10.0,10.0,10.0,42.43,-3.8,-5.0,1.0,-,-,4.6,-,-,80.27,-,-,-,-
18,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.26,-1.6,-5.0,1.0,-,-,0.26,-,-,-,-,-,-,-
19,10.0,0.0,0.0,0.0,0.0,0.0,10.0,47.17,-1.0,-3.0,1.0,-,-,47.17,-,-,-,-,-,-,-
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-,-,-,-,-,-,-,-,-,-
21,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-2.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,0.0
22,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-1.6,-5.0,1.0,-,-,-,-,-,-,-,-,0.0,-
23,30.0,20.0,20.0,20.0,20.0,30.0,30.0,10.87,-1.2,-5.0,1.0,-,-,-,32.62,0.0,-,-,-,0.0,-
24,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16,-2.2,-5.0,1.0,-,-,-,-,83.13,-,-,-,83.18,-
25,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
26,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,-2.8,-5.0,1.0,-,-,51.36,-,-,-,-,-,-,-
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-2.8,-5.0,1.0,-,-,51.34,-,-,-,-,-,-,-
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
30,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-3.2,-5.0,1.0,-,-,51.34,-,-,-,-,-,-,-
31,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-1.6,-5.0,1.0,-,-,-,-,-,-,-,-,-,0.0
32,30.0,0.0,0.0,0.0,0.0,0.0,0.0,350.16,-2.0,-5.0,1.0,-,-,394.94,-,-,388.55,-,-,-,266.99
33,30.0,10.0,10.0,20.0,20.0,20.0,20.0,63.67,-0.4,-1.0,1.0,-,-,172.34,-,-,18.67,-,-,-,0.0
34,20.0,10.0,10.0,20.0,20.0,20.0,20.0,9.34,-2.6,-5.0,1.0,-,-,-,-,-,18.67,-,-,-,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
36,30.0,10.0,10.0,10.0,10.0,10.0,10.0,424.61,-0.4,-1.0,1.0,-,-,-,-,634.44,-,-,-,639.4,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
39,20.0,0.0,0.0,0.0,0.0,0.0,0.0,459.82,-3.4,-5.0,1.0,-,-,-,-,457.9,-,-,-,461.75,-
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
41,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-1.2,-5.0,1.0,0.0,-,-,-,-,-,-,-,-,-
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
45,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16,-3.0,-5.0,1.0,-,-,-,-,83.13,-,-,-,83.18,-
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
48,20.0,0.0,10.0,10.0,10.0,10.0,10.0,36.9,-0.6,-1.0,1.0,-,-,4.6,-,-,69.21,-,-,-,-
49,30.0,0.0,10.0,10.0,10.0,10.0,10.0,187.62,-1.2,-5.0,1.0,-,-,4.6,-,278.72,-,-,-,279.53,-
50,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.11,-0.4,-1.0,1.0,-,-,51.34,-,0.0,-,-,-,0.0,-
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
52,10.0,0.0,0.0,0.0,0.0,0.0,0.0,105.19,-2.4,-5.0,1.0,-,-,105.19,-,-,-,-,-,-,-
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
55,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.11,-1.6,-5.0,1.0,-,-,51.34,-,0.0,-,-,-,0.0,-
56,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-2.4,-5.0,1.0,-,-,4.6,-,-,-,-,-,-,-
57,20.0,0.0,0.0,0.0,0.0,0.0,10.0,162.95,-2.2,-5.0,1.0,-,-,47.17,-,278.72,-,-,-,-,-
58,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-1.2,-5.0,1.0,-,-,4.6,-,-,-,-,-,-,-
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
61,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-2.0,-5.0,1.0,-,-,4.6,-,-,-,-,-,-,-
62,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-2.0,-5.0,1.0,-,-,4.6,-,-,-,-,-,-,-
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
65,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-4.0,-5.0,1.0,-,-,51.34,-,-,-,-,-,-,-
66,20.0,0.0,10.0,10.0,10.0,10.0,10.0,222.79,-1.4,-5.0,1.0,-,-,4.6,-,-,-,-,-,-,440.97
67,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,-0.8,-1.0,1.0,-,-,51.36,-,-,-,-,-,-,-
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
69,10.0,0.0,0.0,0.0,0.0,0.0,0.0,105.8,-0.8,-1.0,1.0,-,-,105.8,-,-,-,-,-,-,-
70,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-3.6,-5.0,1.0,-,-,51.34,-,-,-,-,-,-,-
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
72,20.0,0.0,0.0,0.0,0.0,0.0,0.0,618.61,-0.6,-1.0,1.0,-,-,51.34,-,-,-,-,-,1185.88,-
73,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-1.6,-5.0,1.0,-,-,4.6,-,-,-,-,-,-,-
74,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.89,-1.6,-5.0,1.0,-,-,58.89,-,-,-,-,-,-,-
75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,147.45,-3.6,-5.0,1.0,-,-,147.45,-,-,-,-,-,-,-
76,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16,-0.6,-1.0,1.0,-,-,-,-,83.13,-,-,-,83.18,-
77,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,-0.8,-1.0,1.0,-,-,51.36,-,-,-,-,-,-,-
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
80,30.0,20.0,20.0,20.0,20.0,20.0,30.0,15.67,-0.8,-5.0,1.0,-,-,47.02,-,0.0,-,-,-,0.0,-
81,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,-0.8,-1.0,1.0,-,-,51.36,-,-,-,-,-,-,-
82,10.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85,-4.0,-5.0,1.0,-,-,53.85,-,-,-,-,-,-,-
83,10.0,0.0,0.0,0.0,0.0,0.0,10.0,47.4,-3.6,-5.0,1.0,-,-,47.4,-,-,-,-,-,-,-
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
91,30.0,0.0,0.0,0.0,0.0,0.0,0.0,221.75,-0.4,-1.0,1.0,-,-,105.8,-,279.16,-,-,-,280.3,-
