iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1689,-5.0808,-1.3116,-,-,-,-,-,-,-,-,-,-
2,10.0,0.0,0.0,10.0,10.0,10.0,10.0,14.67,-4.3754,-5.0311,1.0317,-,-,-,-,-,-,14.67,-,-,-
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7854,-5.1141,-1.196,-,-,-,-,-,-,-,-,-,-
4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-1.0563,-1.4212,1.0333,0.0,-,-,-,-,-,-,-,-,-
5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.89,-4.0005,-5.0174,1.0671,-,-,58.89,-,-,-,-,-,-,-
6,20.0,0.0,10.0,10.0,10.0,10.0,10.0,32.17,-3.7414,-5.0043,1.0995,-,-,0.31,-,-,-,-,-,-,64.03
7,30.0,0.0,0.0,0.0,0.0,0.0,0.0,75.08,-2.7867,-5.0043,1.0754,-,-,58.94,-,83.13,-,-,-,83.18,-
8,50.0,10.0,20.0,20.0,30.0,30.0,30.0,173.73,-1.3155,-5.3033,1.0876,0.0,-,4.6,28.42,-,-,549.71,285.94,-,-
9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,120.69,-1.7466,-4.9348,1.0232,-,-,195.75,-,83.13,-,-,-,83.18,-
10,30.0,0.0,0.0,0.0,0.0,0.0,0.0,681.12,-1.401,-4.9333,1.0305,-,-,-,-,986.98,-,-,-,992.35,64.03
11,20.0,0.0,0.0,0.0,0.0,0.0,0.0,70.99,-3.0425,-5.0745,1.0203,-,-,-,-,71.06,-,-,-,70.92,-
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9459,-5.0039,-4.9042,-,-,-,-,-,-,-,-,-,-
13,20.0,0.0,0.0,0.0,0.0,0.0,0.0,218.96,-3.7817,-5.0195,1.0702,-,-,51.36,-,-,-,-,-,-,386.57
14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-4.3961,-5.1778,1.0333,-,-,-,-,0.0,-,-,-,-,-
15,30.0,20.0,30.0,30.0,30.0,30.0,30.0,1.53,-1.3545,-5.0,1.087,-,-,4.6,-,0.0,-,-,-,0.0,-
16,30.0,20.0,20.0,20.0,20.0,20.0,30.0,16.2,-2.4572,-4.9837,1.1103,-,-,48.6,-,0.0,-,-,-,0.0,-
17,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.65,-3.764,-5.0,1.0081,-,-,-,-,96.4,-,-,-,96.9,-
18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,-1.0823,-1.4419,1.0702,-,-,51.36,-,-,-,-,-,-,-
19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.6576,-5.0893,1.0333,-,-,-,-,0.0,-,-,-,0.0,-
