iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.9,-26.0,0.0,-,-,-,-,-,-,-,-,-,-
2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,307.2,-15.3,-26.0,1.0,-,-,-,-,-,317.18,-,-,-,297.21
3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,216.77,-10.1,-26.0,3.0,-,-,394.1,-,-,201.61,-,-,-,54.6
4,40.0,20.0,30.0,30.0,30.0,30.0,30.0,55.82,-9.9,-26.0,4.0,-,-,0.31,-,-,222.98,0.0,-,-,0.0
5,10.0,0.0,10.0,10.0,10.0,10.0,10.0,3.18,-8.1,-24.0,7.0,-,3.18,-,-,-,-,-,-,-,-
6,30.0,0.0,0.0,0.0,0.0,0.0,10.0,123.99,-6.1,-26.0,4.0,-,-,48.6,-,-,171.28,-,-,-,152.1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.0,-4.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
9,40.0,0.0,10.0,10.0,10.0,10.0,20.0,70.96,-4.9,-26.0,7.0,-,-,47.17,-,-,134.97,-,4.59,-,97.11
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2,-24.0,-3.0,-,-,-,-,-,-,-,-,-,-
11,30.0,0.0,0.0,10.0,10.0,10.0,10.0,207.75,-2.9,-6.0,5.0,-,-,263.53,-,-,12.83,-,-,-,346.88
12,10.0,0.0,0.0,0.0,0.0,0.0,0.0,225.81,-13.8,-26.0,0.0,-,-,-,-,-,-,225.81,-,-,-
13,20.0,0.0,0.0,0.0,0.0,0.0,0.0,233.41,-18.2,-26.0,-7.0,-,206.87,-,-,-,-,-,259.95,-,-
14,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-3.0,-7.0,4.0,-,-,4.6,-,-,-,-,-,-,-
15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,195.75,-5.7,-11.0,-2.0,-,-,195.75,-,-,-,-,-,-,-
16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36,-6.8,-20.0,4.0,-,-,51.36,-,-,-,-,-,-,-
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9,-13.0,-2.0,-,-,-,-,-,-,-,-,-,-
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.7,-26.0,-3.0,-,-,-,-,-,-,-,-,-,-
19,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-14.3,-26.0,4.0,-,-,51.34,-,-,-,-,-,-,-
20,30.0,0.0,0.0,0.0,0.0,0.0,10.0,275.57,-16.8,-26.0,4.0,-,-,47.4,-,-,283.23,-,-,-,496.08
21,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-9.1,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
22,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.7,-5.0,4.0,-,-,0.0,-,-,-,-,-,0.0,-
23,20.0,10.0,10.0,10.0,10.0,10.0,10.0,41.84,-16.6,-26.0,2.0,-,-,-,-,83.69,-,-,-,0.0,-
24,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-2.1,-20.0,4.0,-,-,0.0,-,0.0,-,-,-,0.0,-
25,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-8.3,-24.0,4.0,-,-,0.0,-,0.0,-,-,-,0.0,-
26,20.0,0.0,0.0,0.0,10.0,10.0,10.0,40.61,-8.7,-26.0,5.0,-,-,-,-,-,24.67,-,-,-,56.54
27,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-7.8,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
28,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-12.4,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
29,30.0,20.0,20.0,20.0,20.0,20.0,30.0,15.8,-9.1,-24.0,4.0,-,-,47.4,-,0.0,-,-,-,0.0,-
30,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.7,-6.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
31,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-11.2,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
32,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-14.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
33,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-9.8,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
34,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-10.0,-26.0,4.0,-,-,51.34,-,-,-,-,-,-,-
35,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-12.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
36,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-9.1,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
37,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.2,-8.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
38,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.3,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6,-22.0,0.0,-,-,-,-,-,-,-,-,-,-
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6,-26.0,-6.0,-,-,-,-,-,-,-,-,-,-
41,30.0,0.0,0.0,0.0,0.0,0.0,0.0,208.21,-15.1,-26.0,3.0,-,-,-,-,278.31,67.46,-,-,278.85,-
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.2,-26.0,-6.0,-,-,-,-,-,-,-,-,-,-
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.9,-26.0,1.0,-,-,-,-,-,-,-,-,-,-
44,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-15.2,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2,-20.0,-3.0,-,-,-,-,-,-,-,-,-,-
46,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-16.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
47,10.0,0.0,0.0,0.0,0.0,0.0,0.0,251.5,-10.8,-26.0,-3.0,-,-,-,-,-,251.5,-,-,-,-
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-26.0,2.0,-,-,-,-,-,-,-,-,-,-
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.6,-26.0,-6.0,-,-,-,-,-,-,-,-,-,-
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7,-17.0,-1.0,-,-,-,-,-,-,-,-,-,-
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.7,-26.0,-5.0,-,-,-,-,-,-,-,-,-,-
52,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-14.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.3,-26.0,-14.0,-,-,-,-,-,-,-,-,-,-
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,-26.0,0.0,-,-,-,-,-,-,-,-,-,-
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.9,-26.0,1.0,-,-,-,-,-,-,-,-,-,-
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,-24.0,0.0,-,-,-,-,-,-,-,-,-,-
57,10.0,0.0,0.0,0.0,0.0,0.0,0.0,111.77,-11.8,-26.0,2.0,-,-,111.77,-,-,-,-,-,-,-
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-26.0,-2.0,-,-,-,-,-,-,-,-,-,-
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.2,-26.0,-16.0,-,-,-,-,-,-,-,-,-,-
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-26.0,-2.0,-,-,-,-,-,-,-,-,-,-
61,20.0,0.0,0.0,0.0,0.0,0.0,0.0,70.99,-13.2,-26.0,2.0,-,-,-,-,71.06,-,-,-,70.92,-
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.2,-26.0,-6.0,-,-,-,-,-,-,-,-,-,-
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.3,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-16.0,-1.0,-,-,-,-,-,-,-,-,-,-
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,-26.0,0.0,-,-,-,-,-,-,-,-,-,-
67,30.0,0.0,0.0,0.0,0.0,0.0,0.0,284.71,-13.7,-26.0,0.0,-,-,321.68,-,-,293.67,-,-,-,238.77
68,20.0,0.0,0.0,0.0,0.0,0.0,0.0,434.89,-18.2,-26.0,-6.0,-,-,-,-,433.1,-,-,-,436.68,-
69,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.3,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
70,10.0,0.0,0.0,0.0,0.0,0.0,0.0,433.1,-11.8,-26.0,0.0,-,-,-,-,433.1,-,-,-,-,-
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.8,-26.0,-3.0,-,-,-,-,-,-,-,-,-,-
72,40.0,30.0,30.0,40.0,40.0,40.0,40.0,3.38,-5.4,-26.0,5.0,-,-,-,13.51,0.0,-,0.0,-,0.0,-
73,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-13.8,-26.0,2.0,-,-,-,-,0.0,-,0.0,-,0.0,-
74,50.0,0.0,0.0,0.0,0.0,10.0,10.0,348.26,-11.3,-24.0,5.0,296.14,-,-,32.62,538.14,-,332.16,-,542.23,-
75,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-16.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
76,50.0,20.0,20.0,20.0,20.0,20.0,20.0,206.83,-8.2,-24.0,3.0,179.09,-,-,72.1,0.0,-,782.97,-,0.0,-
77,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-10.5,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
78,30.0,20.0,20.0,20.0,20.0,20.0,20.0,31.93,-10.0,-24.0,2.0,95.8,-,-,-,0.0,-,-,-,0.0,-
79,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.9,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
80,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-10.4,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
81,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.7,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
82,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.65,-16.6,-26.0,2.0,-,-,-,-,96.4,-,-,-,96.9,-
83,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,-8.7,-24.0,2.0,-,-,-,-,96.43,-,-,-,97.18,-
84,30.0,20.0,20.0,20.0,20.0,20.0,20.0,117.12,-12.7,-26.0,2.0,351.37,-,-,-,0.0,-,-,-,0.0,-
85,50.0,0.0,0.0,0.0,0.0,0.0,0.0,120.11,-7.4,-24.0,2.0,95.8,-,-,77.87,96.43,-,233.29,-,97.18,-
86,40.0,0.0,0.0,10.0,10.0,10.0,10.0,96.48,-11.5,-26.0,5.0,179.09,-,-,13.51,96.4,-,-,-,96.9,-
87,50.0,0.0,0.0,10.0,10.0,10.0,10.0,146.95,-5.9,-24.0,7.0,194.93,-,-,-,96.4,-,332.16,14.35,96.9,-
88,30.0,0.0,0.0,0.0,0.0,0.0,0.0,175.15,-12.6,-26.0,2.0,-,-,-,-,96.4,-,332.16,-,96.9,-
89,40.0,0.0,0.0,0.0,0.0,0.0,0.0,180.1,-5.0,-22.0,2.0,194.93,-,-,-,96.4,-,332.16,-,96.9,-
90,30.0,20.0,20.0,20.0,20.0,20.0,20.0,97.6,-12.9,-26.0,2.0,-,-,-,-,0.0,-,-,292.8,0.0,-
91,30.0,0.0,0.0,0.0,0.0,0.0,0.0,189.78,-14.4,-26.0,0.0,-,-,-,-,171.83,-,225.81,-,171.7,-
92,50.0,20.0,20.0,20.0,30.0,30.0,30.0,67.47,-8.7,-24.0,5.0,83.13,-,-,28.42,0.0,-,225.81,-,0.0,-
93,60.0,30.0,30.0,30.0,30.0,30.0,30.0,45.65,-1.5,-16.0,3.0,83.69,-,-,71.72,0.0,-,0.0,118.48,0.0,-
94,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-13.6,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
95,30.0,20.0,20.0,20.0,20.0,20.0,20.0,42.62,-11.9,-24.0,2.0,-,-,-,-,0.0,-,127.85,-,0.0,-
96,60.0,20.0,20.0,30.0,40.0,40.0,40.0,45.99,-6.1,-24.0,5.0,178.93,-,58.44,23.87,0.0,-,14.67,-,0.0,-
97,50.0,20.0,20.0,20.0,20.0,20.0,20.0,80.45,-5.2,-20.0,2.0,178.93,-,-,95.46,0.0,-,127.85,-,0.0,-
98,80.0,20.0,20.0,30.0,30.0,30.0,30.0,149.14,-1.1,-8.0,3.0,356.74,-,159.12,72.35,0.0,213.43,14.67,-,0.0,376.77
99,70.0,30.0,30.0,30.0,30.0,40.0,40.0,114.66,-2.5,-26.0,7.0,-,31.14,58.44,-,0.0,274.05,0.0,-,0.0,439.02
100,50.0,20.0,20.0,30.0,30.0,30.0,30.0,27.35,-9.5,-26.0,6.0,-,54.8,-,-,0.0,-,14.67,67.27,0.0,-
101,40.0,0.0,0.0,0.0,0.0,0.0,0.0,137.81,-14.0,-26.0,6.0,-,183.09,-,-,-,173.04,127.85,67.27,-,-
102,30.0,0.0,0.0,0.0,0.0,0.0,0.0,212.15,-12.3,-24.0,2.0,-,-,-,-,254.21,-,127.85,-,254.38,-
103,50.0,0.0,0.0,10.0,10.0,10.0,10.0,110.24,-10.5,-26.0,4.0,-,116.83,-,-,159.2,-,14.67,101.65,158.87,-
104,70.0,0.0,0.0,20.0,20.0,30.0,30.0,77.34,-0.9,-22.0,7.0,178.93,31.14,-,19.46,96.4,102.23,-,16.3,96.9,-
105,40.0,0.0,0.0,10.0,20.0,20.0,20.0,91.32,-10.6,-26.0,7.0,-,30.92,-,-,159.2,-,-,16.3,158.87,-
106,50.0,0.0,0.0,10.0,10.0,10.0,10.0,186.51,-7.7,-24.0,5.0,268.08,-,-,19.46,167.67,-,308.4,-,168.95,-
