iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-,-,-,-,-,-,-,-,-,-
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,94.39,-4.4486,-5.0,0.5144,-,-,-,94.39,-,-,-,-,-,-
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-0.8,-1.0,1.0,0.0,-,-,-,-,-,-,-,-,-
4,40.0,30.0,30.0,30.0,30.0,30.0,30.0,15.74,-0.2386,-1.0,1.0,0.0,-,-,-,0.0,-,-,62.95,0.0,-
5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.17,-4.4364,-5.0,0.6362,-,-,-,-,-,-,-,-,-,57.17
6,70.0,40.0,40.0,40.0,40.0,40.0,40.0,76.64,-0.951,-5.0,1.0,0.0,56.15,51.34,-,0.0,-,0.0,-,0.0,429.02
7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.8,-5.0,1.0,0.0,-,-,-,-,-,0.0,-,-,-
8,30.0,10.0,10.0,10.0,10.0,10.0,10.0,55.44,-2.0908,-5.0,1.0,0.0,-,-,-,83.13,-,-,-,83.18,-
9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,122.88,-1.1029,-5.0,0.6191,-,-,-,-,-,61.51,-,-,-,184.25
10,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.2,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
11,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.8,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
12,50.0,20.0,20.0,20.0,20.0,20.0,20.0,203.65,-1.3997,-5.0,1.0,83.13,-,195.75,-,0.0,-,-,-,0.0,739.39
13,40.0,20.0,20.0,20.0,20.0,20.0,20.0,108.55,-0.7356,-5.0,1.0,262.22,-,-,171.96,0.0,-,-,-,0.0,-
14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-4.4,-5.0,1.0,0.0,-,-,-,-,-,-,-,-,-
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
16,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.11,-2.0339,-5.0,1.0,-,-,51.34,-,0.0,-,-,-,0.0,-
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
18,30.0,20.0,20.0,20.0,20.0,20.0,30.0,15.59,-2.0319,-5.0,1.0,-,-,46.76,-,0.0,-,-,-,0.0,-
19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.6,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
20,30.0,20.0,30.0,30.0,30.0,30.0,30.0,1.53,-0.4044,-1.0,1.0,-,-,4.6,-,0.0,-,-,-,0.0,-
21,40.0,30.0,30.0,30.0,30.0,30.0,30.0,12.84,-2.6339,-5.0,1.0,0.0,-,51.34,-,0.0,-,-,-,0.0,-
22,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.62,-0.3068,-1.0,1.0,83.13,-,159.36,-,0.0,-,-,-,0.0,-
23,40.0,20.0,20.0,20.0,20.0,20.0,20.0,69.72,-0.3116,-1.0,1.0,83.13,-,195.75,-,0.0,-,-,-,0.0,-
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-,-,-,-,-,-,-,-,-,-
25,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.11,-1.6339,-5.0,1.0,-,-,51.34,-,0.0,-,-,-,0.0,-
26,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.8,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
27,30.0,20.0,20.0,20.0,20.0,30.0,30.0,13.47,-2.4288,-5.0,1.0,-,-,40.4,-,0.0,-,-,-,0.0,-
28,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
29,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.6,-1.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
30,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
31,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.6,-1.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
32,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.2,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
34,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.2,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
35,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.05,-0.698,-1.0,0.5107,-,-,-,-,95.8,-,-,-,96.3,-
36,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.12,-3.2339,-5.0,1.0,-,-,51.36,-,0.0,-,-,-,0.0,-
37,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
38,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.6,-1.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
40,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.4,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
42,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
43,20.0,0.0,0.0,0.0,0.0,0.0,0.0,83.72,-1.0911,-5.0,0.5444,-,-,-,-,83.69,-,-,-,83.75,-
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
45,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.6,-1.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
47,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.4,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
48,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.8,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
52,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
53,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
55,10.0,0.0,0.0,0.0,0.0,0.0,0.0,152.84,-0.8604,-1.0,0.3955,-,-,152.84,-,-,-,-,-,-,-
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
57,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.92,-1.6367,-5.0,0.6332,-,-,57.92,-,-,-,-,-,-,-
58,10.0,0.0,0.0,0.0,0.0,0.0,0.0,108.87,-2.8521,-5.0,0.4788,-,-,108.87,-,-,-,-,-,-,-
59,10.0,0.0,0.0,0.0,0.0,0.0,0.0,152.84,-0.8604,-1.0,0.3955,-,-,152.84,-,-,-,-,-,-,-
60,10.0,0.0,0.0,0.0,0.0,0.0,0.0,163.17,-1.262,-5.0,0.38,-,-,163.17,-,-,-,-,-,-,-
61,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.4,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
62,30.0,20.0,20.0,20.0,20.0,20.0,20.0,19.65,-0.8371,-5.0,1.0,-,-,58.94,-,0.0,-,-,-,0.0,-
63,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.0,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
65,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-0.6,-1.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
66,30.0,20.0,20.0,20.0,20.0,20.0,20.0,36.29,-1.2521,-5.0,1.0,-,-,108.87,-,0.0,-,-,-,0.0,-
67,30.0,20.0,20.0,20.0,20.0,20.0,20.0,70.05,-0.4678,-1.0,1.0,-,-,210.16,-,0.0,-,-,-,0.0,-
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
69,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-1.8,-5.0,1.0,-,-,-,-,0.0,-,-,-,0.0,-
70,30.0,20.0,20.0,30.0,30.0,30.0,30.0,6.22,-0.4157,-1.0,1.0,-,-,-,-,0.0,18.67,-,-,0.0,-
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
74,30.0,0.0,0.0,0.0,0.0,0.0,0.0,106.99,-1.3543,-5.0,0.5107,-,-,-,-,95.8,128.86,-,-,96.3,-
75,50.0,0.0,0.0,0.0,0.0,0.0,10.0,244.58,-0.3162,-1.0,0.6922,-,-,44.46,-,264.63,128.86,-,-,266.17,518.8
76,10.0,0.0,0.0,0.0,0.0,0.0,0.0,108.87,-2.8521,-5.0,0.4788,-,-,108.87,-,-,-,-,-,-,-
77,30.0,20.0,20.0,20.0,20.0,20.0,20.0,29.39,-1.2469,-5.0,1.0,-,-,88.16,-,0.0,-,-,-,0.0,-
78,10.0,0.0,0.0,0.0,0.0,0.0,0.0,318.36,-0.8761,-1.0,0.239,-,-,-,-,-,-,-,-,-,318.36
79,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-2.4044,-5.0,0.9561,-,-,4.6,-,-,-,-,-,-,-
80,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-0.8044,-1.0,0.9561,-,-,4.6,-,-,-,-,-,-,-
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
83,10.0,0.0,0.0,0.0,0.0,0.0,0.0,108.87,-1.2521,-5.0,0.4788,-,-,108.87,-,-,-,-,-,-,-
84,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.12,-0.4339,-1.0,1.0,-,-,51.36,-,0.0,-,-,-,0.0,-
85,30.0,20.0,20.0,20.0,20.0,20.0,20.0,17.12,-0.4339,-1.0,1.0,-,-,51.36,-,0.0,-,-,-,0.0,-
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
87,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.05,-0.698,-1.0,0.5107,-,-,-,-,95.8,-,-,-,96.3,-
88,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-1.6044,-5.0,0.9561,-,-,4.6,-,-,-,-,-,-,-
89,30.0,0.0,0.0,10.0,10.0,10.0,10.0,70.26,-1.7137,-5.0,0.8427,-,-,-,-,95.8,18.67,-,-,96.3,-
90,30.0,0.0,10.0,10.0,10.0,10.0,10.0,243.28,-0.5578,-1.0,0.9561,-,-,4.6,-,-,238.07,-,-,-,487.17
91,30.0,20.0,20.0,20.0,20.0,20.0,20.0,31.69,-0.8487,-5.0,1.0,-,-,95.06,-,0.0,-,-,-,0.0,-
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
93,30.0,0.0,10.0,10.0,10.0,10.0,10.0,65.57,-0.9024,-5.0,0.9561,-,-,4.6,-,95.8,-,-,-,96.3,-
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
96,10.0,0.0,0.0,0.0,0.0,0.0,0.0,83.13,-2.0454,-5.0,0.5461,-,-,-,-,83.13,-,-,-,-,-
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
98,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.46,-1.2403,-5.0,0.5972,-,-,-,-,-,67.46,-,-,-,-
99,20.0,0.0,0.0,0.0,0.0,0.0,0.0,179.53,-0.7285,-1.0,0.3583,-,-,-,-,179.09,-,-,-,179.97,-
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
101,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.05,-0.698,-1.0,0.5107,-,-,-,-,95.8,-,-,-,96.3,-
102,20.0,0.0,0.0,0.0,0.0,0.0,0.0,96.05,-0.698,-1.0,0.5107,-,-,-,-,95.8,-,-,-,96.3,-
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-,-,-,-,-,-,-,-,-,-
106,30.0,10.0,10.0,10.0,10.0,10.0,10.0,114.91,-0.5204,-1.0,1.0,-,-,248.43,-,0.0,-,-,-,96.3,-
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0,-1.0,-,-,-,-,-,-,-,-,-,-
