iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9753,-5.1291,-4.8794,-,-,-,-,-,-,-,-,-,-
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,94.39,-4.4051,-5.0,0.5265,-,-,-,94.39,-,-,-,-,-,-
3,30.0,10.0,10.0,10.0,10.0,10.0,10.0,164.78,-0.7697,-1.3855,1.0333,0.0,-,267.4,-,-,-,-,-,-,226.93
4,60.0,30.0,30.0,30.0,30.0,30.0,30.0,86.95,-1.2152,-4.9922,1.0333,0.0,-,-,-,0.0,73.61,-,126.75,0.0,321.32
5,30.0,10.0,10.0,10.0,10.0,10.0,10.0,36.17,-2.1433,-5.1085,1.0333,-,-,51.34,-,-,-,0.0,-,-,57.17
6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-3.7892,-5.1107,1.0333,-,-,-,-,0.0,-,-,-,0.0,-
7,70.0,30.0,40.0,40.0,40.0,40.0,40.0,137.03,-0.294,-4.9656,1.0964,0.0,57.74,0.31,-,0.0,365.17,-,-,0.0,535.98
8,10.0,0.0,10.0,10.0,10.0,10.0,10.0,3.05,-4.3524,-5.0076,1.1519,-,3.05,-,-,-,-,-,-,-,-
9,50.0,0.0,10.0,10.0,10.0,10.0,10.0,95.07,-1.0929,-4.9348,1.0964,-,-,0.31,-,83.69,61.51,-,-,83.75,246.08
10,50.0,20.0,30.0,30.0,30.0,30.0,30.0,29.37,-2.0382,-5.0043,1.0964,83.13,-,0.31,-,0.0,-,-,-,0.0,63.4
11,30.0,10.0,20.0,20.0,20.0,20.0,20.0,39.44,-2.8538,-5.0449,1.0964,0.0,-,0.31,-,-,-,-,-,-,118.0
12,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.31,-2.9185,-5.0898,1.0964,-,-,0.31,-,-,-,-,-,-,-
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9673,-5.1864,-4.8662,-,-,-,-,-,-,-,-,-,-
14,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.6602,-5.0746,1.0333,-,-,-,-,0.0,-,-,-,0.0,-
15,20.0,0.0,0.0,0.0,0.0,0.0,0.0,351.76,-3.5772,-5.0,0.1374,296.14,-,-,-,-,-,-,-,-,407.37
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.518,-5.0276,-1.2872,-,-,-,-,-,-,-,-,-,-
