iteration,pct_concluded,pct_optimal,pct_err10,pct_err20,pct_err30,pct_err40,pct_err50,mean_diff_iter,mean_reward_iter,min_reward_iter,max_reward_iter,ep1_diff,ep2_diff,ep3_diff,ep4_diff,ep5_diff,ep6_diff,ep7_diff,ep8_diff,ep9_diff,ep10_diff
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.7,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
3,20.0,10.0,10.0,10.0,10.0,10.0,10.0,35.82,-3.8417,-20.0,4.5826,0.0,-,-,-,-,71.64,-,-,-,-
4,30.0,10.0,30.0,30.0,30.0,30.0,30.0,2.59,-4.0075,-24.0,6.9692,0.0,3.18,4.6,-,-,-,-,-,-,-
5,10.0,0.0,10.0,10.0,10.0,10.0,10.0,3.18,-13.3031,-26.0,6.9692,-,3.18,-,-,-,-,-,-,-,-
6,30.0,10.0,20.0,20.0,20.0,20.0,20.0,21.24,-5.0391,-23.0,3.9969,0.0,-,0.31,-,-,-,-,-,-,63.4
7,20.0,0.0,10.0,10.0,10.0,10.0,10.0,31.86,-2.6391,-7.0,3.9969,-,-,0.31,-,-,-,-,-,-,63.4
8,30.0,20.0,20.0,20.0,20.0,20.0,20.0,21.13,-2.3388,-8.0,2.612,-,-,-,-,0.0,-,-,-,0.0,63.4
9,30.0,0.0,10.0,20.0,20.0,20.0,20.0,32.09,-13.8571,-26.0,4.8863,83.13,-,0.31,-,-,12.83,-,-,-,-
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,-12.0,0.0,-,-,-,-,-,-,-,-,-,-
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9,-7.0,0.0,-,-,-,-,-,-,-,-,-,-
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2,-14.0,0.0,-,-,-,-,-,-,-,-,-,-
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7,-24.0,1.0,-,-,-,-,-,-,-,-,-,-
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-7.0,0.0,-,-,-,-,-,-,-,-,-,-
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-10.0,-2.0,-,-,-,-,-,-,-,-,-,-
16,50.0,30.0,30.0,40.0,40.0,40.0,40.0,37.94,-9.2788,-26.0,4.8427,-,-,171.02,-,0.0,18.67,-,-,0.0,0.0
17,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-16.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.3,-26.0,0.0,-,-,-,-,-,-,-,-,-,-
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-7.0,0.0,-,-,-,-,-,-,-,-,-,-
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-6.0,-1.0,-,-,-,-,-,-,-,-,-,-
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.2,-26.0,-16.0,-,-,-,-,-,-,-,-,-,-
22,20.0,0.0,0.0,0.0,0.0,0.0,0.0,159.04,-7.8228,-24.0,0.0,-,-,-,-,159.2,-,-,-,158.87,-
23,30.0,0.0,10.0,10.0,10.0,10.0,20.0,39.38,-13.0778,-26.0,4.9311,-,-,46.76,-,-,7.4,-,-,-,63.99
24,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-6.1,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
25,30.0,20.0,20.0,20.0,20.0,20.0,20.0,70.66,-12.7679,-26.0,2.0,-,-,211.99,-,0.0,-,-,-,0.0,-
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6,-26.0,0.0,-,-,-,-,-,-,-,-,-,-
27,20.0,0.0,0.0,0.0,0.0,10.0,10.0,151.31,-15.6012,-26.0,3.7122,262.22,-,40.4,-,-,-,-,-,-,-
28,40.0,20.0,20.0,20.0,20.0,20.0,20.0,35.5,-6.2825,-24.0,3.6294,83.13,-,58.89,-,0.0,-,-,-,0.0,-
29,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,-4.9,-16.0,3.0,-,-,-,-,0.0,-,-,-,0.0,0.0
30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-10.8,-26.0,3.0,-,-,-,-,-,-,-,-,-,0.0
31,10.0,0.0,0.0,0.0,0.0,0.0,0.0,159.31,-20.0614,-26.0,-0.6144,-,-,159.31,-,-,-,-,-,-,-
32,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.92,-13.8367,-26.0,3.6332,-,-,57.92,-,-,-,-,-,-,-
33,10.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34,-15.8339,-26.0,3.6608,-,-,51.34,-,-,-,-,-,-,-
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.8,-26.0,-3.0,-,-,-,-,-,-,-,-,-,-
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.8,-26.0,-2.0,-,-,-,-,-,-,-,-,-,-
36,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-7.7044,-24.0,3.9561,-,-,4.6,-,-,-,-,-,-,-
37,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.1,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
38,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.8,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
39,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-14.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
41,30.0,20.0,30.0,30.0,30.0,30.0,30.0,1.53,-9.9044,-26.0,3.9561,-,-,4.6,-,0.0,-,-,-,0.0,-
42,10.0,0.0,10.0,10.0,10.0,10.0,10.0,4.6,-18.0044,-26.0,3.9561,-,-,4.6,-,-,-,-,-,-,-
43,30.0,20.0,30.0,30.0,30.0,30.0,30.0,1.53,-14.0044,-26.0,3.9561,-,-,4.6,-,0.0,-,-,-,0.0,-
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
45,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-10.0,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,-26.0,-2.0,-,-,-,-,-,-,-,-,-,-
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.7,-26.0,-1.0,-,-,-,-,-,-,-,-,-,-
48,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-4.0,-20.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
49,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-12.0,-24.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
50,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-16.6,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
51,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-2.6,-7.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
52,50.0,20.0,30.0,30.0,30.0,30.0,30.0,121.64,-10.6487,-26.0,3.9561,-,-,4.6,-,0.0,170.72,-,-,0.0,432.87
53,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-8.7,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
54,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-9.9,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
55,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-14.4,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
56,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,-12.8,-26.0,2.0,-,-,-,-,0.0,-,-,-,0.0,-
